id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,loudness_db,vocal_type
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric|bright,-4.5,vocal
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,nostalgic|calm,-11.0,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,64,2010s,aggressive|driving,-3.8,vocal
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,40,2020s,nostalgic|cozy,-13.5,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,aggressive|euphoric,-3.5,vocal
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,33,2010s,dreamy|calm,-16.0,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,45,1990s,nostalgic|warm,-12.0,instrumental
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,1980s,moody|nocturnal,-6.0,vocal
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020s,calm|nostalgic,-10.5,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020s,euphoric|bright,-5.0,vocal
11,Bassline Riot,DJ Fracture,edm,intense,0.97,140,0.70,0.90,0.03,88,2020s,aggressive|euphoric,-2.5,instrumental
12,Vinyl Memories,Sepia Groove,soul,relaxed,0.45,95,0.68,0.55,0.60,48,1970s,nostalgic|warm,-9.0,vocal
13,Broken Strings,Willow Ash,acoustic,sad,0.22,68,0.20,0.30,0.95,38,2010s,melancholy|intimate,-15.5,vocal
14,Neon Tears,Voltline,rock,sad,0.55,100,0.25,0.45,0.20,42,2010s,melancholy|aggressive,-7.5,vocal
15,Wildflower Waltz,Fern & June,folk,happy,0.30,84,0.75,0.40,0.90,36,2000s,nostalgic|whimsical,-14.0,vocal
16,Trap Door,Lil Circuit,hip-hop,intense,0.85,150,0.55,0.85,0.08,80,2020s,aggressive|confident,-4.0,vocal
17,Golden Hour,Indigo Parade,indie pop,happy,0.60,102,0.79,0.68,0.45,66,2020s,euphoric|nostalgic,-6.5,vocal
18,Deep Focus,Orbit Bloom,ambient,focused,0.20,55,0.50,0.30,0.95,30,2020s,calm|dreamy,-17.0,instrumental
19,Heartbreak Anthem,Sepia Groove,pop,sad,0.48,96,0.30,0.50,0.30,58,2010s,melancholy|dramatic,-8.5,vocal
20,Festival Frenzy,DJ Fracture,edm,happy,0.95,128,0.88,0.92,0.04,90,2020s,euphoric|confident,-2.0,instrumental
